CP,Localidad,Provincia,,,,
1622,Lopez Camelo,Buenos Aires,,,,
1623,Ingeniero Maschwitz,Buenos Aires,,,,
1624,Rincon De Milberg,Buenos Aires,,,,
1625,Barrio El Cazador,Buenos Aires,,,,
1625,Belen De Escobar,Buenos Aires,,,,
1625,Casa Escobar,Buenos Aires,,,,
1625,Escobar,Buenos Aires,,,,
1626,Barrio El Cazador,Buenos Aires,,,,
1627,Matheu,Buenos Aires,,,,
1627,Zelaya,Buenos Aires,,,,
1628,Loma Verde,Buenos Aires,,,,
1629,Pilar,Buenos Aires,,,,
1630,Pilar,Buenos Aires,,,,
1631,Villa Rosa,Buenos Aires,,,,
1632,Manzanares,Buenos Aires,,,,
1633,Fatima,Buenos Aires,,,,
1633,Fatima Estacion,Buenos Aires,,,,
1633,Manzone,Buenos Aires,,,,
1633,Villa Astolfi,Buenos Aires,,,,
1634,Pilar,Buenos Aires,,,,
1635,Km. 45,Buenos Aires,,,,
1635,Presidente Derqui,Buenos Aires,,,,
1636,Olivos,Buenos Aires,,,,
1637,La Lucila,Buenos Aires,,,,
1637,Olivos,Buenos Aires,,,,
1638,Vicente Lopez,Buenos Aires,,,,
1639,Martinez,Buenos Aires,,,,
1640,Martinez,Buenos Aires,,,,
1641,Acassuso,Buenos Aires,,,,
1642,San Isidro,Buenos Aires,,,,
1643,Beccar,Buenos Aires,,,,
1644,Victoria,Buenos Aires,,,,
1645,Virreyes,Buenos Aires,,,,
1646,San Fernando,Buenos Aires,,,,
1647,A Baltazar Chico,Entre Rios,,,,
1647,A Bravo Gutierrez,Entre Rios,,,,
1647,A Bzo De La Tinta,Entre Rios,,,,
1647,A Des D Gutierres,Entre Rios,,,,
1647,A Desg Del Sauce,Entre Rios,,,,
1647,A Gutierrez Chico,Entre Rios,,,,
1647,A Paciencia Chico,Entre Rios,,,,
1647,A Paciencia Grande,Entre Rios,,,,
1647,A Perdido Ceibo,Entre Rios,,,,
1647,A Perdido Mosquito,Entre Rios,,,,
1647,A Sagastume Chico,Entre Rios,,,,
1647,A Sagastume Grande,Entre Rios,,,,
1647,Aero Club Canal,Entre Rios,,,,
1647,Arroyo Baltazar,Entre Rios,,,,
1647,Arroyo Boca Falsa,Entre Rios,,,,
1647,Arroyo Brazo Chico,Entre Rios,,,,
1647,Arroyo Carbon,Entre Rios,,,,
1647,Arroyo Carboncito,Entre Rios,,,,
1647,Arroyo Carpincho,Entre Rios,,,,
1647,Arroyo Correntoso,Entre Rios,,,,
1647,Arroyo Cuzco,Entre Rios,,,,
1647,Arroyo De La Rosa,Entre Rios,,,,
1647,Arroyo La Tinta,Entre Rios,,,,
1647,Arroyo Malambo,Entre Rios,,,,
1647,Arroyo Martinez,Entre Rios,,,,
1647,Arroyo Negro,Entre Rios,,,,
1647,Arroyo Pelado,Entre Rios,,,,
1647,Arroyo Piedras,Entre Rios,,,,
